"id","sex","race_ethnicity","education","completed_fertility","birth_control_education_male","birth_control_education_female","birth_control_education","first_birth_month","first_birth_year","fin_lit_score_mean","fin_lit_waves","ever_emergency_savings","emergency_savings_waves"
9573,"Male","Black",12,1,1,NA,1,6,2000,4,1,0,2
9574,"Female","Hispanic",12,2,NA,0,0,3,1976,4,1,1,2
9575,"Female","Hispanic",12,4,NA,1,1,7,1976,1,1,1,2
9576,"Female","Hispanic",14,3,NA,1,1,11,1999,3,1,1,2
9577,"Male","Non-Black, non-Hispanic",18,3,1,NA,1,9,1984,NA,NA,NA,NA
9578,"Female","Hispanic",13,6,NA,1,1,1,1979,4,1,1,2
9579,"Female","Hispanic",12,2,NA,1,1,5,1989,4,1,1,2
9580,"Male","Hispanic",17,1,1,NA,1,12,2003,4,1,1,2
9581,"Male","Black",12,1,1,NA,1,4,1990,NA,NA,0,2
9582,"Female","Black",14,2,NA,1,1,8,1989,2,1,1,2
9583,"Male","Non-Black, non-Hispanic",16,1,1,NA,1,3,1987,NA,NA,NA,NA
9584,"Male","Non-Black, non-Hispanic",20,0,1,NA,1,NA,NA,NA,NA,NA,NA
9585,"Male","Non-Black, non-Hispanic",16,1,1,NA,1,11,1982,NA,NA,NA,NA
9586,"Male","Non-Black, non-Hispanic",16,0,1,NA,1,NA,NA,NA,NA,NA,NA
9587,"Male","Non-Black, non-Hispanic",16,0,0,NA,0,NA,NA,NA,NA,NA,NA
9588,"Male","Non-Black, non-Hispanic",16,1,0,NA,0,4,1988,NA,NA,NA,NA
9589,"Male","Non-Black, non-Hispanic",17,1,0,NA,0,8,1988,NA,NA,NA,NA
9590,"Female","Non-Black, non-Hispanic",20,0,NA,0,0,NA,NA,NA,NA,NA,NA
9591,"Female","Non-Black, non-Hispanic",12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9592,"Female","Non-Black, non-Hispanic",18,0,NA,1,1,NA,NA,NA,NA,NA,NA
9593,"Female","Non-Black, non-Hispanic",16,3,NA,1,1,5,1984,NA,NA,NA,NA
9594,"Female","Non-Black, non-Hispanic",16,2,NA,1,1,6,1984,NA,NA,NA,NA
9595,"Female","Non-Black, non-Hispanic",12,0,NA,0,0,NA,NA,NA,NA,NA,NA
9596,"Female","Non-Black, non-Hispanic",17,2,NA,0,0,8,1981,NA,NA,NA,NA
9597,"Female","Non-Black, non-Hispanic",16,1,NA,0,0,12,1985,NA,NA,NA,NA
9598,"Male","Black",11,0,1,NA,1,NA,NA,2,1,1,2
9599,"Male","Non-Black, non-Hispanic",14,0,1,NA,1,NA,NA,NA,NA,NA,NA
9600,"Male","Non-Black, non-Hispanic",12,2,1,NA,1,10,1981,NA,NA,NA,NA
9601,"Male","Non-Black, non-Hispanic",9,3,1,NA,1,8,1982,NA,NA,NA,NA
9602,"Female","Non-Black, non-Hispanic",11,2,NA,0,0,10,1983,NA,NA,NA,NA
9603,"Male","Non-Black, non-Hispanic",10,3,0,NA,0,8,1981,NA,NA,NA,NA
9604,"Female","Non-Black, non-Hispanic",10,2,NA,1,1,12,1981,NA,NA,NA,NA
9605,"Male","Black",12,0,1,NA,1,NA,NA,4,1,1,2
9606,"Male","Black",12,3,0,NA,0,4,1985,NA,NA,NA,NA
9607,"Male","Black",12,0,0,NA,0,NA,NA,4,1,0,1
9608,"Female","Non-Black, non-Hispanic",14,3,NA,0,0,6,1978,NA,NA,NA,NA
9609,"Female","Black",12,1,NA,1,1,3,1984,3,1,1,2
9610,"Female","Non-Black, non-Hispanic",12,1,NA,1,1,2,1990,NA,NA,NA,NA
9611,"Female","Non-Black, non-Hispanic",12,2,NA,1,1,5,1981,NA,NA,NA,NA
9612,"Male","Non-Black, non-Hispanic",12,0,0,NA,0,NA,NA,NA,NA,NA,NA
9613,"Male","Non-Black, non-Hispanic",11,0,0,NA,0,NA,NA,NA,NA,NA,NA
9614,"Female","Non-Black, non-Hispanic",11,1,NA,1,1,5,1980,NA,NA,NA,NA
9615,"Male","Non-Black, non-Hispanic",11,1,1,NA,1,10,1980,NA,NA,NA,NA
9616,"Female","Non-Black, non-Hispanic",12,3,NA,0,0,7,1981,NA,NA,NA,NA
9617,"Male","Non-Black, non-Hispanic",11,2,0,NA,0,3,1985,NA,NA,NA,NA
9618,"Male","Non-Black, non-Hispanic",13,0,0,NA,0,NA,NA,NA,NA,NA,NA
9619,"Female","Hispanic",13,2,NA,1,1,6,1981,4,1,0,1
9620,"Female","Hispanic",13,3,NA,1,1,6,1978,1,1,1,2
9621,"Male","Black",12,0,NA,NA,NA,NA,NA,2,1,0,1
9622,"Male","Hispanic",12,0,1,NA,1,NA,NA,4,1,1,2
9623,"Female","Non-Black, non-Hispanic",10,2,NA,0,0,7,1980,NA,NA,NA,NA
9624,"Male","Hispanic",12,1,1,NA,1,2,1985,4,1,1,2
9625,"Male","Hispanic",12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9626,"Male","Hispanic",12,0,NA,NA,NA,NA,NA,NA,NA,0,1
9627,"Female","Hispanic",14,3,NA,1,1,8,1982,NA,NA,NA,NA
9628,"Male","Hispanic",12,0,0,NA,0,NA,NA,4,1,0,2
9629,"Male","Non-Black, non-Hispanic",12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9630,"Male","Non-Black, non-Hispanic",12,0,1,NA,1,NA,NA,NA,NA,NA,NA
9631,"Female","Non-Black, non-Hispanic",16,1,NA,1,1,11,1982,NA,NA,NA,NA
9632,"Female","Hispanic",12,3,NA,NA,NA,9,1984,NA,NA,NA,NA
9633,"Female","Non-Black, non-Hispanic",13,2,NA,1,1,3,1977,NA,NA,NA,NA
9634,"Female","Black",14,0,NA,1,1,NA,NA,4,1,1,2
9635,"Female","Black",14,2,NA,1,1,4,1993,4,1,0,2
9636,"Male","Black",13,2,0,NA,0,7,1984,4,1,1,2
9637,"Female","Hispanic",19,2,NA,1,1,6,1984,4,1,1,2
9638,"Male","Hispanic",20,2,0,NA,0,7,1994,5,1,1,2
9639,"Male","Hispanic",18,2,0,NA,0,3,1984,4,1,0,2
9640,"Female","Black",16,2,NA,1,1,1,1986,4,1,1,2
9641,"Female","Hispanic",12,2,NA,1,1,5,1998,4,1,1,2
9642,"Male","Hispanic",10,0,1,NA,1,NA,NA,NA,NA,NA,NA
9643,"Male","Hispanic",12,0,1,NA,1,NA,NA,3,1,0,2
9644,"Female","Hispanic",13,2,NA,1,1,8,1989,1,1,0,1
9645,"Male","Hispanic",12,4,1,NA,1,6,1982,2,1,0,1
9646,"Male","Hispanic",12,4,0,NA,0,6,1983,4,1,1,2
9647,"Female","Non-Black, non-Hispanic",12,1,NA,1,1,6,1990,NA,NA,NA,NA
9648,"Female","Hispanic",10,4,NA,0,0,4,1978,2,1,0,1
9649,"Male","Non-Black, non-Hispanic",11,1,0,NA,0,5,1990,NA,NA,NA,NA
9650,"Male","Non-Black, non-Hispanic",8,1,0,NA,0,4,1985,NA,NA,NA,NA
9651,"Male","Hispanic",12,2,1,NA,1,8,1991,4,1,1,2
9652,"Female","Hispanic",12,2,NA,0,0,2,1982,1,1,1,2
9653,"Female","Hispanic",12,0,NA,0,0,NA,NA,3,1,1,2
9654,"Female","Non-Black, non-Hispanic",16,0,NA,1,1,NA,NA,NA,NA,NA,NA
9655,"Female","Hispanic",12,3,NA,NA,NA,11,1981,2,1,0,2
9656,"Male","Non-Black, non-Hispanic",13,0,1,NA,1,NA,NA,NA,NA,NA,NA
9657,"Female","Non-Black, non-Hispanic",12,1,NA,1,1,7,1981,NA,NA,NA,NA
9658,"Female","Non-Black, non-Hispanic",16,0,NA,1,1,NA,NA,NA,NA,NA,NA
9659,"Female","Hispanic",14,1,NA,1,1,8,1996,4,1,1,2
9660,"Female","Hispanic",13,2,NA,1,1,4,1986,4,1,1,2
9661,"Female","Hispanic",13,2,NA,0,0,9,1984,4,1,1,2
9662,"Female","Hispanic",15,1,NA,0,0,9,2004,3,1,1,2
9663,"Male","Hispanic",14,1,NA,NA,NA,3,1979,NA,NA,NA,NA
9664,"Male","Hispanic",13,2,NA,NA,NA,9,1986,NA,NA,NA,NA
9665,"Female","Hispanic",17,0,NA,0,0,NA,NA,4,1,1,2
9666,"Male","Hispanic",15,2,NA,NA,NA,5,1983,NA,NA,NA,NA
9667,"Male","Hispanic",17,2,1,NA,1,1,1988,5,1,1,2
9668,"Male","Hispanic",19,2,0,NA,0,9,1982,NA,NA,NA,NA
9669,"Male","Hispanic",16,4,0,NA,0,5,1989,5,1,1,2
9670,"Male","Black",16,2,1,NA,1,9,1982,3,1,1,2
9671,"Female","Non-Black, non-Hispanic",9,4,NA,1,1,9,1975,NA,NA,NA,NA
9672,"Female","Black",16,1,NA,1,1,8,1992,3,1,1,2
9673,"Male","Black",15,1,0,NA,0,4,1979,3,1,1,2
9674,"Male","Black",12,2,1,NA,1,6,1984,4,1,1,2
9675,"Female","Black",13,0,NA,1,1,NA,NA,4,1,1,2
9676,"Female","Black",19,3,NA,1,1,8,1982,2,1,1,2
9677,"Male","Black",16,4,1,NA,1,5,1989,4,1,1,2
9678,"Male","Black",11,1,0,NA,0,11,1980,NA,NA,NA,NA
9679,"Male","Black",14,1,1,NA,1,11,1994,3,1,0,1
9680,"Female","Black",13,3,NA,1,1,9,1984,2,1,0,1
9681,"Male","Black",12,1,0,NA,0,10,1980,0,1,0,2
9682,"Male","Black",12,4,1,NA,1,9,1983,4,1,0,2
9683,"Male","Black",12,3,1,NA,1,7,1978,3,1,1,1
9684,"Female","Black",13,2,NA,0,0,9,1980,3,1,0,2
9685,"Male","Black",12,1,0,NA,0,9,1993,1,1,0,2
9686,"Female","Black",12,2,NA,0,0,4,1982,2,1,0,2
9687,"Male","Black",12,2,1,NA,1,7,1988,2,1,1,2
9688,"Male","Black",12,0,1,NA,1,NA,NA,3,1,0,1
9689,"Female","Black",12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9690,"Male","Black",13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9691,"Female","Non-Black, non-Hispanic",16,0,NA,0,0,NA,NA,NA,NA,NA,NA
9692,"Female","Non-Black, non-Hispanic",15,2,NA,1,1,1,1985,NA,NA,NA,NA
9693,"Female","Non-Black, non-Hispanic",16,0,NA,0,0,NA,NA,NA,NA,NA,NA
9694,"Male","Non-Black, non-Hispanic",16,3,0,NA,0,3,1985,NA,NA,NA,NA
9695,"Male","Non-Black, non-Hispanic",17,0,0,NA,0,NA,NA,NA,NA,NA,NA
9696,"Male","Non-Black, non-Hispanic",16,1,0,NA,0,5,1990,NA,NA,NA,NA
9697,"Male","Black",20,2,0,NA,0,12,1986,5,1,1,2
9698,"Female","Non-Black, non-Hispanic",17,0,NA,0,0,NA,NA,NA,NA,NA,NA
9699,"Male","Non-Black, non-Hispanic",18,4,0,NA,0,12,1982,NA,NA,NA,NA
9700,"Female","Non-Black, non-Hispanic",14,0,NA,1,1,NA,NA,NA,NA,NA,NA
9701,"Male","Non-Black, non-Hispanic",16,0,1,NA,1,NA,NA,NA,NA,NA,NA
9702,"Female","Non-Black, non-Hispanic",16,1,NA,0,0,5,1980,NA,NA,NA,NA
9703,"Male","Non-Black, non-Hispanic",20,0,0,NA,0,NA,NA,NA,NA,NA,NA
9704,"Female","Non-Black, non-Hispanic",16,2,NA,1,1,3,1987,NA,NA,NA,NA
9705,"Female","Non-Black, non-Hispanic",16,1,NA,1,1,9,1988,NA,NA,NA,NA
9706,"Male","Black",14,2,0,NA,0,2,1978,NA,NA,NA,NA
9707,"Female","Black",18,2,NA,0,0,2,1978,2,1,0,2
9708,"Female","Black",19,0,NA,1,1,NA,NA,5,1,0,2
9709,"Female","Non-Black, non-Hispanic",15,1,NA,0,0,9,1987,NA,NA,NA,NA
9710,"Male","Non-Black, non-Hispanic",13,0,1,NA,1,NA,NA,NA,NA,NA,NA
9711,"Female","Black",15,2,NA,0,0,4,2001,3,1,0,2
9712,"Female","Non-Black, non-Hispanic",14,0,NA,0,0,NA,NA,NA,NA,NA,NA
9713,"Female","Non-Black, non-Hispanic",17,1,NA,0,0,2,1987,NA,NA,NA,NA
9714,"Female","Non-Black, non-Hispanic",16,0,NA,0,0,NA,NA,NA,NA,NA,NA
9715,"Female","Non-Black, non-Hispanic",16,0,NA,1,1,NA,NA,NA,NA,NA,NA
9716,"Female","Non-Black, non-Hispanic",16,0,NA,0,0,NA,NA,NA,NA,NA,NA
9717,"Female","Non-Black, non-Hispanic",18,0,NA,1,1,NA,NA,NA,NA,NA,NA
9718,"Male","Non-Black, non-Hispanic",17,0,0,NA,0,NA,NA,NA,NA,NA,NA
9719,"Male","Non-Black, non-Hispanic",14,1,1,NA,1,3,1986,NA,NA,NA,NA
9720,"Male","Non-Black, non-Hispanic",14,0,0,NA,0,NA,NA,NA,NA,NA,NA
9721,"Female","Non-Black, non-Hispanic",17,0,NA,0,0,NA,NA,NA,NA,NA,NA
9722,"Female","Non-Black, non-Hispanic",16,1,NA,1,1,1,1989,NA,NA,NA,NA
9723,"Male","Non-Black, non-Hispanic",19,0,1,NA,1,NA,NA,NA,NA,NA,NA
9724,"Male","Non-Black, non-Hispanic",20,0,1,NA,1,NA,NA,NA,NA,NA,NA
9725,"Male","Non-Black, non-Hispanic",13,0,1,NA,1,NA,NA,NA,NA,NA,NA
9726,"Male","Non-Black, non-Hispanic",16,0,1,NA,1,NA,NA,NA,NA,NA,NA
9727,"Female","Non-Black, non-Hispanic",15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9728,"Male","Non-Black, non-Hispanic",16,0,0,NA,0,NA,NA,NA,NA,NA,NA
9729,"Male","Non-Black, non-Hispanic",20,2,0,NA,0,7,1986,NA,NA,NA,NA
9730,"Female","Non-Black, non-Hispanic",11,3,NA,1,1,2,1977,NA,NA,NA,NA
9731,"Female","Non-Black, non-Hispanic",12,1,NA,0,0,5,1989,NA,NA,NA,NA
9732,"Female","Non-Black, non-Hispanic",12,0,NA,1,1,NA,NA,NA,NA,NA,NA
9733,"Female","Non-Black, non-Hispanic",14,1,NA,1,1,12,1983,NA,NA,NA,NA
9734,"Male","Non-Black, non-Hispanic",14,1,0,NA,0,8,1984,NA,NA,NA,NA
9735,"Male","Non-Black, non-Hispanic",17,2,1,NA,1,4,1984,NA,NA,NA,NA
9736,"Female","Non-Black, non-Hispanic",13,3,NA,1,1,5,1977,NA,NA,NA,NA
9737,"Male","Non-Black, non-Hispanic",17,3,1,NA,1,1,1982,NA,NA,NA,NA
9738,"Male","Non-Black, non-Hispanic",17,1,0,NA,0,5,1988,NA,NA,NA,NA
9739,"Male","Non-Black, non-Hispanic",16,2,1,NA,1,2,1985,NA,NA,NA,NA
9740,"Female","Non-Black, non-Hispanic",12,2,NA,1,1,2,1985,NA,NA,NA,NA
9741,"Female","Non-Black, non-Hispanic",18,0,NA,1,1,NA,NA,NA,NA,NA,NA
9742,"Male","Non-Black, non-Hispanic",19,0,1,NA,1,NA,NA,NA,NA,NA,NA
9743,"Male","Non-Black, non-Hispanic",20,0,0,NA,0,NA,NA,NA,NA,NA,NA
9744,"Male","Non-Black, non-Hispanic",16,0,0,NA,0,NA,NA,NA,NA,NA,NA
9745,"Male","Non-Black, non-Hispanic",16,2,0,NA,0,9,1979,NA,NA,NA,NA
9746,"Male","Non-Black, non-Hispanic",17,0,0,NA,0,NA,NA,NA,NA,NA,NA
9747,"Male","Black",16,4,1,NA,1,2,1984,5,1,0,2
9748,"Female","Non-Black, non-Hispanic",18,2,NA,1,1,4,1987,NA,NA,NA,NA
9749,"Female","Black",17,0,NA,1,1,NA,NA,3,1,1,2
9750,"Female","Non-Black, non-Hispanic",8,3,NA,0,0,8,1975,NA,NA,NA,NA
9751,"Male","Non-Black, non-Hispanic",14,0,0,NA,0,NA,NA,NA,NA,NA,NA
9752,"Male","Non-Black, non-Hispanic",16,0,0,NA,0,NA,NA,NA,NA,NA,NA
9753,"Female","Non-Black, non-Hispanic",10,1,NA,1,1,8,1980,NA,NA,NA,NA
9754,"Female","Hispanic",9,4,NA,0,0,6,1976,2,1,0,1
9755,"Female","Non-Black, non-Hispanic",9,2,NA,0,0,4,1977,NA,NA,NA,NA
9756,"Female","Black",12,2,NA,0,0,9,1974,2,1,0,1
9757,"Female","Black",13,2,NA,0,0,1,1996,2,1,0,2
9758,"Female","Black",14,3,NA,1,1,3,1980,4,1,0,1
9759,"Female","Black",16,0,NA,1,1,NA,NA,4,1,0,2
9760,"Male","Black",12,2,1,NA,1,1,1986,2,1,0,2
9761,"Male","Black",12,4,1,NA,1,9,1982,5,1,1,2
9762,"Male","Hispanic",12,1,1,NA,1,7,1983,2,1,1,2
9763,"Female","Hispanic",12,2,NA,0,0,1,1994,3,1,1,1
9764,"Male","Black",12,0,0,NA,0,NA,NA,4,1,0,2
9765,"Female","Black",12,2,NA,0,0,2,1981,NA,NA,NA,NA
9766,"Female","Black",15,1,NA,1,1,3,1989,2,1,1,2
9767,"Male","Black",12,6,0,NA,0,2,1977,4,1,0,2
9768,"Female","Black",14,3,NA,0,0,11,1977,3,1,0,1
9769,"Male","Black",12,2,0,NA,0,6,1979,NA,NA,NA,NA
9770,"Male","Hispanic",8,4,0,NA,0,8,1984,3,1,0,1
9771,"Male","Hispanic",12,4,0,NA,0,10,1980,NA,NA,NA,NA
9772,"Female","Hispanic",12,5,NA,0,0,12,1981,3,1,1,2
9773,"Male","Hispanic",15,2,0,NA,0,5,1990,NA,NA,NA,NA
9774,"Female","Non-Black, non-Hispanic",12,2,NA,0,0,4,1982,NA,NA,NA,NA
9775,"Male","Hispanic",12,5,1,NA,1,2,1979,4,1,1,2
9776,"Male","Hispanic",12,5,0,NA,0,2,1976,3,1,1,1
9777,"Male","Hispanic",14,0,0,NA,0,NA,NA,5,1,1,2
9778,"Female","Hispanic",12,3,NA,1,1,12,1980,2,1,1,2
9779,"Male","Hispanic",11,2,0,NA,0,6,1989,2,1,1,2
9780,"Male","Hispanic",12,3,0,NA,0,12,1978,NA,NA,NA,NA
9781,"Male","Non-Black, non-Hispanic",12,0,0,NA,0,NA,NA,NA,NA,NA,NA
9782,"Female","Non-Black, non-Hispanic",13,0,NA,1,1,NA,NA,NA,NA,NA,NA
9783,"Male","Hispanic",12,1,1,NA,1,11,1987,1,1,0,1
9784,"Female","Hispanic",13,3,NA,1,1,7,1983,3,1,1,2
9785,"Male","Non-Black, non-Hispanic",12,0,0,NA,0,NA,NA,NA,NA,NA,NA
9786,"Male","Hispanic",16,2,1,NA,1,6,1993,5,1,0,1
9787,"Male","Non-Black, non-Hispanic",10,2,0,NA,0,11,1983,NA,NA,NA,NA
9788,"Male","Hispanic",13,0,1,NA,1,NA,NA,4,1,1,2
9789,"Female","Hispanic",12,3,NA,1,1,8,1985,4,1,1,2
9790,"Female","Hispanic",12,3,NA,1,1,8,1988,3,1,1,2
9791,"Male","Non-Black, non-Hispanic",17,4,1,NA,1,8,1984,NA,NA,NA,NA
9792,"Male","Non-Black, non-Hispanic",12,3,0,NA,0,10,1979,NA,NA,NA,NA
9793,"Male","Non-Black, non-Hispanic",14,2,0,NA,0,3,1987,NA,NA,NA,NA
9794,"Male","Non-Black, non-Hispanic",13,0,1,NA,1,NA,NA,NA,NA,NA,NA
9795,"Female","Non-Black, non-Hispanic",12,3,NA,1,1,4,1981,NA,NA,NA,NA
9796,"Female","Non-Black, non-Hispanic",11,4,NA,1,1,7,1983,NA,NA,NA,NA
9797,"Female","Non-Black, non-Hispanic",12,2,NA,1,1,8,1979,NA,NA,NA,NA
9798,"Female","Non-Black, non-Hispanic",11,4,NA,0,0,7,1981,NA,NA,NA,NA
9799,"Female","Non-Black, non-Hispanic",12,0,NA,0,0,NA,NA,NA,NA,NA,NA
9800,"Male","Non-Black, non-Hispanic",12,4,0,NA,0,10,1977,NA,NA,NA,NA
9801,"Male","Hispanic",4,2,0,NA,0,2,1990,NA,NA,NA,NA
9802,"Male","Hispanic",7,3,NA,NA,NA,5,1983,NA,NA,NA,NA
9803,"Male","Non-Black, non-Hispanic",12,0,1,NA,1,NA,NA,NA,NA,NA,NA
9804,"Male","Non-Black, non-Hispanic",12,3,1,NA,1,3,1975,NA,NA,NA,NA
9805,"Male","Non-Black, non-Hispanic",12,2,1,NA,1,5,1979,NA,NA,NA,NA
9806,"Male","Non-Black, non-Hispanic",7,2,0,NA,0,3,1982,NA,NA,NA,NA
9807,"Female","Non-Black, non-Hispanic",12,2,NA,0,0,7,1978,NA,NA,NA,NA
9808,"Male","Non-Black, non-Hispanic",12,2,1,NA,1,9,1976,NA,NA,NA,NA
9809,"Female","Hispanic",12,2,NA,1,1,9,1976,4,1,0,1
9810,"Male","Hispanic",12,1,1,NA,1,2,1982,3,1,1,2
9811,"Female","Hispanic",12,2,NA,0,0,8,1980,4,1,0,2
9812,"Male","Hispanic",17,0,0,NA,0,NA,NA,2,1,1,2
9813,"Female","Hispanic",14,0,NA,1,1,NA,NA,3,1,1,2
9814,"Male","Hispanic",12,3,0,NA,0,11,1986,3,1,1,2
9815,"Male","Hispanic",10,1,0,NA,0,12,1981,NA,NA,0,2
