"id","sex","race_ethnicity","education","completed_fertility","birth_control_education_male","birth_control_education_female","birth_control_education","first_birth_month","first_birth_year","fin_lit_score_mean","fin_lit_waves","ever_emergency_savings","emergency_savings_waves"
1,"Female","Non-Black, non-Hispanic",12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Female","Non-Black, non-Hispanic",12,2,NA,0,0,3,1993,2,1,1,2
3,"Female","Non-Black, non-Hispanic",12,3,NA,0,0,6,1981,1,1,0,2
4,"Female","Non-Black, non-Hispanic",14,2,NA,0,0,8,1980,4,1,0,2
5,"Male","Non-Black, non-Hispanic",18,1,0,NA,0,5,1989,NA,NA,NA,NA
6,"Male","Non-Black, non-Hispanic",16,3,0,NA,0,8,1991,5,1,1,2
7,"Male","Non-Black, non-Hispanic",12,2,0,NA,0,3,1990,NA,NA,NA,NA
8,"Female","Non-Black, non-Hispanic",14,3,NA,0,0,3,1976,4,1,1,2
9,"Male","Non-Black, non-Hispanic",14,2,0,NA,0,3,1991,2,1,1,1
10,"Female","Non-Black, non-Hispanic",9,2,NA,0,0,1,1983,NA,NA,1,1
11,"Male","Non-Black, non-Hispanic",16,0,1,NA,1,NA,NA,NA,NA,NA,NA
12,"Female","Non-Black, non-Hispanic",16,2,NA,1,1,10,1989,NA,NA,NA,NA
13,"Male","Non-Black, non-Hispanic",16,4,0,NA,0,12,1989,NA,NA,NA,NA
14,"Female","Non-Black, non-Hispanic",19,0,NA,0,0,NA,NA,4,1,1,1
15,"Male","Non-Black, non-Hispanic",16,4,1,NA,1,3,1997,4,1,1,2
16,"Female","Non-Black, non-Hispanic",13,3,NA,0,0,2,1990,4,1,0,2
17,"Male","Non-Black, non-Hispanic",13,0,0,NA,0,NA,NA,4,1,0,2
18,"Male","Non-Black, non-Hispanic",13,3,0,NA,0,8,1983,5,1,1,2
19,"Female","Non-Black, non-Hispanic",12,1,NA,0,0,11,1987,NA,NA,NA,NA
20,"Female","Non-Black, non-Hispanic",17,1,NA,0,0,8,1990,3,1,1,2
21,"Female","Non-Black, non-Hispanic",16,0,NA,1,1,NA,NA,4,1,1,2
22,"Female","Non-Black, non-Hispanic",16,0,NA,1,1,NA,NA,4,1,1,1
23,"Male","Non-Black, non-Hispanic",19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"Male","Non-Black, non-Hispanic",12,2,NA,NA,NA,6,1986,NA,NA,NA,NA
25,"Female","Non-Black, non-Hispanic",14,2,NA,1,1,10,1990,2,1,0,2
26,"Male","Non-Black, non-Hispanic",16,1,0,NA,0,9,1995,4,1,1,1
27,"Female","Non-Black, non-Hispanic",16,2,NA,0,0,2,1988,4,1,1,2
28,"Female","Non-Black, non-Hispanic",13,0,NA,0,0,NA,NA,NA,NA,NA,NA
29,"Female","Non-Black, non-Hispanic",12,0,NA,1,1,NA,NA,5,1,1,2
30,"Female","Non-Black, non-Hispanic",12,3,NA,1,1,12,1982,2,1,0,2
31,"Male","Hispanic",12,2,1,NA,1,4,1989,3,1,1,2
32,"Female","Hispanic",18,0,NA,0,0,NA,NA,NA,NA,NA,NA
33,"Male","Hispanic",12,0,NA,NA,NA,NA,NA,NA,NA,0,2
34,"Male","Non-Black, non-Hispanic",13,4,0,NA,0,6,1988,3,1,1,2
35,"Female","Non-Black, non-Hispanic",13,2,NA,0,0,5,1990,NA,NA,NA,NA
36,"Male","Non-Black, non-Hispanic",12,0,1,NA,1,NA,NA,4,1,0,2
37,"Female","Non-Black, non-Hispanic",12,1,NA,0,0,4,1990,3,1,0,2
38,"Female","Non-Black, non-Hispanic",12,0,NA,1,1,NA,NA,2,1,1,2
39,"Male","Non-Black, non-Hispanic",12,1,0,NA,0,9,1996,4,1,1,1
40,"Male","Non-Black, non-Hispanic",14,2,0,NA,0,6,2003,4,1,1,2
41,"Male","Non-Black, non-Hispanic",15,2,0,NA,0,11,2000,5,1,1,2
42,"Male","Non-Black, non-Hispanic",12,2,1,NA,1,1,1992,4,1,0,1
43,"Female","Non-Black, non-Hispanic",12,4,NA,1,1,10,1982,1,1,0,2
44,"Female","Non-Black, non-Hispanic",12,2,NA,1,1,9,1981,2,1,1,2
45,"Male","Non-Black, non-Hispanic",12,1,0,NA,0,12,1993,NA,NA,NA,NA
46,"Female","Non-Black, non-Hispanic",19,2,NA,0,0,4,1994,NA,NA,NA,NA
47,"Male","Non-Black, non-Hispanic",12,0,0,NA,0,NA,NA,5,1,1,2
48,"Male","Non-Black, non-Hispanic",12,2,NA,NA,NA,11,1979,NA,NA,NA,NA
49,"Female","Non-Black, non-Hispanic",14,2,NA,1,1,12,1982,4,1,1,2
50,"Female","Non-Black, non-Hispanic",12,5,NA,0,0,7,1985,4,1,0,1
51,"Male","Non-Black, non-Hispanic",8,1,NA,NA,NA,7,1978,NA,NA,NA,NA
52,"Male","Non-Black, non-Hispanic",14,2,0,NA,0,11,1981,4,1,1,2
53,"Male","Hispanic",12,0,1,NA,1,NA,NA,5,1,0,2
54,"Male","Non-Black, non-Hispanic",10,1,0,NA,0,8,1980,3,1,0,2
55,"Male","Non-Black, non-Hispanic",12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"Female","Non-Black, non-Hispanic",11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"Female","Non-Black, non-Hispanic",12,3,NA,1,1,7,1979,4,1,1,2
58,"Female","Non-Black, non-Hispanic",17,3,NA,1,1,7,1981,5,1,1,2
59,"Male","Non-Black, non-Hispanic",12,0,0,NA,0,NA,NA,3,1,1,2
60,"Male","Non-Black, non-Hispanic",12,3,1,NA,1,12,1988,4,1,1,1
61,"Female","Non-Black, non-Hispanic",14,3,NA,1,1,3,1993,4,1,0,2
62,"Female","Non-Black, non-Hispanic",16,3,NA,1,1,8,1996,2,1,0,2
63,"Male","Non-Black, non-Hispanic",16,1,1,NA,1,5,1992,5,1,1,2
64,"Male","Non-Black, non-Hispanic",13,0,1,NA,1,NA,NA,NA,NA,NA,NA
65,"Female","Non-Black, non-Hispanic",16,0,NA,1,1,NA,NA,NA,NA,NA,NA
66,"Male","Non-Black, non-Hispanic",14,2,1,NA,1,4,1992,2,1,0,1
67,"Male","Non-Black, non-Hispanic",18,2,0,NA,0,7,1994,5,1,1,2
68,"Female","Non-Black, non-Hispanic",16,3,NA,1,1,8,1993,4,1,1,2
69,"Male","Non-Black, non-Hispanic",18,2,0,NA,0,2,1992,5,1,1,2
70,"Male","Non-Black, non-Hispanic",18,1,1,NA,1,4,2001,3,1,1,2
71,"Male","Non-Black, non-Hispanic",19,3,1,NA,1,9,1997,NA,NA,0,1
72,"Female","Non-Black, non-Hispanic",16,0,NA,1,1,NA,NA,4,1,1,2
73,"Male","Non-Black, non-Hispanic",18,2,1,NA,1,12,2009,5,1,1,2
74,"Female","Non-Black, non-Hispanic",16,0,NA,1,1,NA,NA,NA,NA,NA,NA
75,"Female","Non-Black, non-Hispanic",16,2,NA,1,1,1,1994,4,1,1,2
76,"Male","Non-Black, non-Hispanic",14,2,1,NA,1,1,1997,2,1,0,2
77,"Female","Non-Black, non-Hispanic",16,0,NA,0,0,NA,NA,5,1,1,2
78,"Female","Non-Black, non-Hispanic",16,4,NA,1,1,3,1989,NA,NA,NA,NA
79,"Male","Non-Black, non-Hispanic",18,3,1,NA,1,7,1990,NA,NA,NA,NA
80,"Male","Non-Black, non-Hispanic",19,0,NA,NA,NA,NA,NA,3,1,1,2
81,"Male","Non-Black, non-Hispanic",19,1,NA,NA,NA,12,2007,4,1,1,2
82,"Male","Black",12,5,NA,NA,NA,4,1979,NA,NA,0,1
83,"Male","Black",10,0,1,NA,1,NA,NA,1,1,0,2
84,"Male","Black",12,1,0,NA,0,10,1982,2,1,0,2
85,"Male","Black",11,1,1,NA,1,1,1979,1,1,0,2
86,"Female","Black",9,1,NA,1,1,11,1977,4,1,0,2
87,"Male","Black",12,2,NA,NA,NA,8,1982,2,1,1,2
88,"Male","Black",16,2,1,NA,1,7,1982,3,1,1,1
89,"Female","Black",16,1,NA,1,1,4,1986,5,1,1,2
90,"Male","Non-Black, non-Hispanic",16,1,0,NA,0,5,1993,5,1,1,2
91,"Female","Non-Black, non-Hispanic",16,2,NA,1,1,1,1994,4,1,0,2
92,"Female","Non-Black, non-Hispanic",12,2,NA,1,1,11,1982,4,1,1,2
93,"Male","Non-Black, non-Hispanic",12,3,0,NA,0,5,1991,3,1,1,2
94,"Male","Non-Black, non-Hispanic",10,0,0,NA,0,NA,NA,3,1,1,2
95,"Female","Non-Black, non-Hispanic",12,3,NA,0,0,10,1985,2,1,1,2
96,"Female","Non-Black, non-Hispanic",12,3,NA,0,0,10,1980,3,1,1,2
97,"Female","Non-Black, non-Hispanic",14,2,NA,1,1,6,1987,3,1,1,2
98,"Female","Non-Black, non-Hispanic",13,3,NA,1,1,9,1987,4,1,1,2
99,"Female","Non-Black, non-Hispanic",14,2,NA,NA,NA,6,1987,4,1,1,2
100,"Female","Non-Black, non-Hispanic",12,3,NA,NA,NA,6,1985,3,1,1,2
101,"Male","Non-Black, non-Hispanic",20,2,0,NA,0,6,1983,NA,NA,1,1
102,"Female","Non-Black, non-Hispanic",16,1,NA,0,0,4,1992,3,1,1,2
103,"Male","Non-Black, non-Hispanic",18,2,1,NA,1,3,1992,4,1,1,2
104,"Female","Non-Black, non-Hispanic",12,0,NA,1,1,NA,NA,NA,NA,NA,NA
105,"Female","Non-Black, non-Hispanic",12,0,NA,0,0,NA,NA,5,1,1,1
106,"Male","Non-Black, non-Hispanic",16,0,0,NA,0,NA,NA,4,1,1,2
107,"Male","Non-Black, non-Hispanic",16,0,1,NA,1,NA,NA,5,1,0,2
108,"Male","Non-Black, non-Hispanic",20,3,0,NA,0,1,1995,4,1,1,2
109,"Female","Non-Black, non-Hispanic",12,0,NA,1,1,NA,NA,NA,NA,NA,NA
110,"Male","Non-Black, non-Hispanic",13,2,1,NA,1,11,1984,3,1,1,2
111,"Female","Non-Black, non-Hispanic",12,3,NA,0,0,4,1982,3,1,0,2
112,"Female","Non-Black, non-Hispanic",12,2,NA,1,1,7,1982,3,1,1,2
113,"Male","Non-Black, non-Hispanic",12,0,0,NA,0,NA,NA,NA,NA,NA,NA
114,"Male","Non-Black, non-Hispanic",12,2,0,NA,0,3,1982,NA,NA,NA,NA
115,"Female","Non-Black, non-Hispanic",16,4,NA,0,0,4,1993,4,1,1,2
116,"Female","Non-Black, non-Hispanic",15,0,NA,1,1,NA,NA,NA,NA,NA,NA
117,"Male","Non-Black, non-Hispanic",15,3,0,NA,0,5,1986,4,1,1,2
118,"Female","Non-Black, non-Hispanic",9,2,NA,1,1,12,1981,NA,NA,NA,NA
119,"Male","Non-Black, non-Hispanic",16,0,0,NA,0,NA,NA,4,1,1,2
120,"Male","Non-Black, non-Hispanic",16,0,1,NA,1,NA,NA,4,1,0,2
121,"Female","Non-Black, non-Hispanic",17,1,NA,1,1,10,1992,3,1,0,2
122,"Male","Non-Black, non-Hispanic",12,3,0,NA,0,9,1993,2,1,1,2
123,"Male","Non-Black, non-Hispanic",16,2,0,NA,0,3,1990,NA,NA,NA,NA
124,"Female","Non-Black, non-Hispanic",15,2,NA,1,1,7,1988,3,1,1,2
125,"Male","Non-Black, non-Hispanic",13,0,0,NA,0,NA,NA,NA,NA,NA,NA
126,"Male","Non-Black, non-Hispanic",14,2,1,NA,1,4,1985,4,1,0,1
127,"Male","Non-Black, non-Hispanic",12,0,0,NA,0,NA,NA,NA,NA,NA,NA
128,"Female","Non-Black, non-Hispanic",12,2,NA,0,0,12,1982,4,1,1,2
129,"Male","Non-Black, non-Hispanic",16,0,1,NA,1,NA,NA,5,1,1,2
130,"Female","Non-Black, non-Hispanic",13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,"Female","Non-Black, non-Hispanic",12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,"Female","Non-Black, non-Hispanic",12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,"Female","Non-Black, non-Hispanic",12,1,NA,1,1,11,1992,4,1,0,1
134,"Male","Non-Black, non-Hispanic",12,3,0,NA,0,7,1991,NA,NA,NA,NA
135,"Male","Non-Black, non-Hispanic",16,1,0,NA,0,10,1995,5,1,1,2
136,"Female","Non-Black, non-Hispanic",12,0,NA,1,1,NA,NA,2,1,0,2
137,"Female","Non-Black, non-Hispanic",16,2,NA,1,1,7,1988,4,1,1,2
138,"Female","Non-Black, non-Hispanic",16,3,NA,1,1,2,1989,3,1,1,2
139,"Male","Non-Black, non-Hispanic",15,2,0,NA,0,3,1992,4,1,1,1
140,"Female","Non-Black, non-Hispanic",17,1,NA,0,0,1,1993,3,1,1,2
141,"Female","Non-Black, non-Hispanic",18,0,NA,1,1,NA,NA,5,1,1,2
142,"Male","Non-Black, non-Hispanic",12,0,0,NA,0,NA,NA,2,1,1,1
143,"Female","Non-Black, non-Hispanic",15,4,NA,0,0,9,1985,NA,NA,NA,NA
144,"Female","Non-Black, non-Hispanic",12,3,NA,0,0,9,1992,2,1,0,2
145,"Male","Non-Black, non-Hispanic",12,0,0,NA,0,NA,NA,4,1,0,2
146,"Male","Non-Black, non-Hispanic",12,2,1,NA,1,10,1986,5,1,1,2
147,"Female","Non-Black, non-Hispanic",14,2,NA,1,1,12,1987,3,1,0,1
148,"Male","Non-Black, non-Hispanic",12,0,1,NA,1,NA,NA,4,1,1,2
149,"Female","Non-Black, non-Hispanic",12,2,NA,1,1,5,1991,3,1,1,2
150,"Male","Non-Black, non-Hispanic",12,0,0,NA,0,NA,NA,3,1,0,1
151,"Female","Non-Black, non-Hispanic",12,0,NA,1,1,NA,NA,2,1,1,2
152,"Female","Non-Black, non-Hispanic",12,0,NA,0,0,NA,NA,4,1,1,2
153,"Female","Non-Black, non-Hispanic",12,2,NA,NA,NA,2,1985,4,1,1,2
154,"Female","Non-Black, non-Hispanic",8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,"Male","Non-Black, non-Hispanic",9,2,1,NA,1,12,1987,1,1,0,1
156,"Male","Non-Black, non-Hispanic",11,2,0,NA,0,11,1979,2,1,0,1
157,"Female","Non-Black, non-Hispanic",20,2,NA,1,1,4,1985,4,1,1,2
158,"Female","Non-Black, non-Hispanic",17,2,NA,1,1,7,1985,3,1,1,2
159,"Female","Non-Black, non-Hispanic",16,5,NA,0,0,9,1985,NA,NA,1,1
160,"Female","Non-Black, non-Hispanic",14,1,NA,0,0,12,1990,4,1,1,2
161,"Female","Non-Black, non-Hispanic",12,2,NA,0,0,4,1994,4,1,1,2
162,"Male","Non-Black, non-Hispanic",18,4,1,NA,1,5,1990,NA,NA,NA,NA
163,"Male","Non-Black, non-Hispanic",16,0,1,NA,1,NA,NA,NA,NA,NA,NA
164,"Female","Non-Black, non-Hispanic",12,0,NA,NA,NA,NA,NA,3,1,0,1
165,"Female","Non-Black, non-Hispanic",12,3,NA,1,1,8,1988,4,1,1,2
166,"Male","Non-Black, non-Hispanic",13,1,0,NA,0,3,1990,3,1,0,2
167,"Female","Non-Black, non-Hispanic",12,2,NA,0,0,2,1985,NA,NA,NA,NA
168,"Male","Black",16,2,1,NA,1,11,1988,3,1,0,1
169,"Female","Black",14,0,NA,NA,NA,NA,NA,0,1,0,1
170,"Female","Non-Black, non-Hispanic",14,0,NA,0,0,NA,NA,NA,NA,NA,NA
171,"Male","Non-Black, non-Hispanic",16,2,1,NA,1,8,1990,4,1,1,2
172,"Female","Non-Black, non-Hispanic",9,1,NA,0,0,6,1993,2,1,0,2
173,"Male","Non-Black, non-Hispanic",9,0,1,NA,1,NA,NA,NA,NA,NA,NA
174,"Female","Hispanic",13,2,NA,1,1,10,1985,3,1,1,2
175,"Female","Non-Black, non-Hispanic",14,4,NA,0,0,4,1982,2,1,1,2
176,"Female","Non-Black, non-Hispanic",16,0,NA,1,1,NA,NA,NA,NA,NA,NA
177,"Male","Non-Black, non-Hispanic",12,0,0,NA,0,NA,NA,NA,NA,NA,NA
178,"Male","Non-Black, non-Hispanic",16,0,1,NA,1,NA,NA,5,1,1,1
179,"Female","Non-Black, non-Hispanic",12,2,NA,1,1,7,1981,2,1,1,2
180,"Female","Non-Black, non-Hispanic",16,3,NA,1,1,5,1978,4,1,1,2
181,"Male","Non-Black, non-Hispanic",12,2,NA,NA,NA,7,1993,5,1,1,2
182,"Male","Non-Black, non-Hispanic",13,0,NA,NA,NA,NA,NA,2,1,0,2
183,"Female","Non-Black, non-Hispanic",12,3,NA,0,0,11,1984,NA,NA,NA,NA
184,"Female","Non-Black, non-Hispanic",16,1,NA,1,1,7,1999,4,1,1,2
185,"Male","Non-Black, non-Hispanic",12,1,0,NA,0,5,1997,4,1,0,1
186,"Female","Non-Black, non-Hispanic",18,1,NA,1,1,3,1991,5,1,0,2
187,"Male","Non-Black, non-Hispanic",15,0,1,NA,1,NA,NA,NA,NA,NA,NA
188,"Female","Non-Black, non-Hispanic",10,1,NA,1,1,4,1985,2,1,0,2
189,"Male","Non-Black, non-Hispanic",16,0,1,NA,1,NA,NA,4,1,1,1
190,"Female","Non-Black, non-Hispanic",18,1,NA,0,0,4,1995,3,1,1,2
191,"Male","Non-Black, non-Hispanic",19,2,1,NA,1,3,1994,5,1,1,2
192,"Female","Non-Black, non-Hispanic",16,3,NA,1,1,5,1991,3,1,1,2
193,"Male","Non-Black, non-Hispanic",16,1,0,NA,0,10,1988,3,1,0,2
194,"Male","Non-Black, non-Hispanic",16,2,1,NA,1,1,1993,NA,NA,NA,NA
195,"Male","Non-Black, non-Hispanic",18,3,0,NA,0,2,1995,5,1,1,2
196,"Male","Non-Black, non-Hispanic",18,3,0,NA,0,8,1991,5,1,1,2
197,"Female","Non-Black, non-Hispanic",12,2,NA,0,0,11,1989,3,1,0,2
198,"Male","Non-Black, non-Hispanic",18,1,1,NA,1,6,2001,5,1,0,1
199,"Male","Non-Black, non-Hispanic",12,0,0,NA,0,NA,NA,4,1,0,1
200,"Female","Non-Black, non-Hispanic",12,2,NA,1,1,1,1983,5,1,1,2
201,"Male","Non-Black, non-Hispanic",16,2,1,NA,1,1,1989,5,1,1,2
202,"Male","Non-Black, non-Hispanic",14,0,1,NA,1,NA,NA,2,1,0,2
203,"Female","Hispanic",13,2,NA,1,1,7,1986,NA,NA,NA,NA
204,"Female","Hispanic",12,2,NA,NA,NA,7,1975,NA,NA,0,2
205,"Female","Hispanic",12,3,NA,0,0,8,1978,1,1,0,2
206,"Male","Non-Black, non-Hispanic",10,4,NA,NA,NA,6,1984,3,1,1,1
207,"Male","Non-Black, non-Hispanic",12,2,0,NA,0,5,1987,NA,NA,NA,NA
208,"Female","Non-Black, non-Hispanic",12,1,NA,1,1,8,1975,2,1,0,2
209,"Male","Non-Black, non-Hispanic",11,0,0,NA,0,NA,NA,NA,NA,NA,NA
210,"Male","Non-Black, non-Hispanic",16,2,1,NA,1,2,1999,4,1,1,2
211,"Female","Non-Black, non-Hispanic",16,4,NA,1,1,3,1996,3,1,1,2
212,"Male","Non-Black, non-Hispanic",12,2,1,NA,1,7,1991,4,1,1,2
213,"Male","Non-Black, non-Hispanic",16,0,1,NA,1,NA,NA,NA,NA,NA,NA
214,"Male","Non-Black, non-Hispanic",16,0,1,NA,1,NA,NA,3,1,1,2
215,"Male","Non-Black, non-Hispanic",16,1,1,NA,1,10,1987,NA,NA,NA,NA
216,"Female","Non-Black, non-Hispanic",16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,"Male","Non-Black, non-Hispanic",10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,"Male","Non-Black, non-Hispanic",16,2,1,NA,1,12,1988,5,1,1,2
219,"Female","Non-Black, non-Hispanic",20,0,NA,1,1,NA,NA,4,1,1,2
220,"Female","Non-Black, non-Hispanic",20,0,NA,0,0,NA,NA,4,1,1,2
221,"Female","Black",12,4,NA,0,0,7,1986,2,1,1,2
222,"Male","Black",9,2,1,NA,1,9,1985,3,1,0,2
223,"Male","Black",12,11,1,NA,1,5,1981,5,1,0,2
224,"Female","Black",12,3,NA,1,1,12,1974,3,1,0,2
225,"Male","Hispanic",12,0,0,NA,0,NA,NA,NA,NA,NA,NA
226,"Male","Hispanic",13,5,0,NA,0,7,1982,NA,NA,NA,NA
227,"Female","Black",12,4,NA,1,1,9,1975,3,1,0,2
228,"Female","Hispanic",9,4,NA,0,0,2,1980,1,1,0,2
229,"Female","Non-Black, non-Hispanic",12,1,NA,1,1,3,1992,2,1,1,2
230,"Male","Non-Black, non-Hispanic",15,0,1,NA,1,NA,NA,4,1,1,2
231,"Female","Non-Black, non-Hispanic",12,2,NA,0,0,3,1990,0,1,0,2
232,"Male","Non-Black, non-Hispanic",14,3,1,NA,1,9,1986,1,1,1,1
233,"Male","Non-Black, non-Hispanic",12,2,0,NA,0,10,1985,4,1,0,2
234,"Male","Non-Black, non-Hispanic",12,2,1,NA,1,7,1980,4,1,1,2
235,"Male","Non-Black, non-Hispanic",15,2,0,NA,0,4,1991,4,1,1,2
236,"Female","Non-Black, non-Hispanic",13,3,NA,1,1,6,1988,5,1,1,2
237,"Female","Non-Black, non-Hispanic",12,1,NA,0,0,5,1981,4,1,0,2
238,"Female","Non-Black, non-Hispanic",12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,"Female","Non-Black, non-Hispanic",10,3,NA,0,0,9,1980,3,1,0,1
240,"Female","Non-Black, non-Hispanic",12,2,NA,1,1,11,1984,4,1,1,2
241,"Male","Non-Black, non-Hispanic",12,0,1,NA,1,NA,NA,NA,NA,NA,NA
242,"Female","Non-Black, non-Hispanic",12,1,NA,1,1,6,1986,3,1,1,2
243,"Male","Non-Black, non-Hispanic",12,2,1,NA,1,10,1984,4,1,1,2
244,"Female","Non-Black, non-Hispanic",12,3,NA,1,1,7,1975,4,1,1,2
245,"Female","Non-Black, non-Hispanic",14,3,NA,0,0,3,1992,3,1,1,2
246,"Male","Non-Black, non-Hispanic",17,1,1,NA,1,3,1991,NA,NA,NA,NA
247,"Male","Non-Black, non-Hispanic",20,2,1,NA,1,6,1986,4,1,1,2
248,"Male","Non-Black, non-Hispanic",14,2,1,NA,1,9,1983,3,1,0,2
249,"Female","Non-Black, non-Hispanic",17,4,NA,0,0,1,1982,5,1,1,2
250,"Female","Non-Black, non-Hispanic",12,2,NA,NA,NA,8,1982,3,1,0,2
251,"Male","Non-Black, non-Hispanic",14,0,1,NA,1,NA,NA,4,1,0,2
252,"Female","Non-Black, non-Hispanic",12,2,NA,1,1,9,1983,2,1,0,2
253,"Male","Non-Black, non-Hispanic",11,0,1,NA,1,NA,NA,3,1,0,2
254,"Female","Non-Black, non-Hispanic",12,5,NA,1,1,7,1981,4,1,1,2
255,"Female","Non-Black, non-Hispanic",12,5,NA,0,0,7,1983,3,1,0,2
256,"Female","Non-Black, non-Hispanic",13,2,NA,1,1,9,1980,3,1,0,1
257,"Male","Non-Black, non-Hispanic",12,1,NA,NA,NA,4,1999,3,1,0,2
258,"Female","Non-Black, non-Hispanic",14,3,NA,0,0,3,1980,5,1,1,2
259,"Male","Non-Black, non-Hispanic",12,4,0,NA,0,3,1980,4,1,0,2
260,"Male","Non-Black, non-Hispanic",16,2,1,NA,1,3,1985,5,1,1,2
261,"Male","Non-Black, non-Hispanic",16,2,1,NA,1,4,2000,4,1,1,2
262,"Female","Non-Black, non-Hispanic",12,2,NA,0,0,6,1985,NA,NA,NA,NA
263,"Male","Non-Black, non-Hispanic",12,1,1,NA,1,6,1991,NA,NA,NA,NA
264,"Female","Non-Black, non-Hispanic",16,0,NA,0,0,NA,NA,NA,NA,NA,NA
265,"Female","Non-Black, non-Hispanic",16,4,NA,1,1,12,1990,2,1,1,2
266,"Male","Non-Black, non-Hispanic",12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
267,"Male","Non-Black, non-Hispanic",12,0,NA,NA,NA,NA,NA,2,1,0,1
268,"Male","Non-Black, non-Hispanic",14,1,0,NA,0,12,1991,2,1,0,1
269,"Male","Non-Black, non-Hispanic",16,4,1,NA,1,6,1990,5,1,1,2
270,"Male","Non-Black, non-Hispanic",12,2,1,NA,1,7,1987,NA,NA,NA,NA
271,"Female","Non-Black, non-Hispanic",20,0,NA,1,1,NA,NA,NA,NA,NA,NA
272,"Female","Non-Black, non-Hispanic",16,4,NA,1,1,10,1984,4,1,1,2
273,"Male","Non-Black, non-Hispanic",15,2,1,NA,1,5,1992,3,1,0,2
274,"Male","Non-Black, non-Hispanic",13,5,1,NA,1,9,1979,3,1,0,2
275,"Female","Non-Black, non-Hispanic",14,2,NA,1,1,9,1991,5,1,1,2
276,"Female","Non-Black, non-Hispanic",12,0,NA,1,1,NA,NA,NA,NA,NA,NA
277,"Male","Non-Black, non-Hispanic",12,0,1,NA,1,NA,NA,2,1,0,1
278,"Female","Non-Black, non-Hispanic",13,4,NA,1,1,4,1987,NA,NA,NA,NA
279,"Male","Non-Black, non-Hispanic",12,0,1,NA,1,NA,NA,3,1,1,2
280,"Female","Non-Black, non-Hispanic",18,0,NA,1,1,NA,NA,NA,NA,NA,NA
281,"Male","Non-Black, non-Hispanic",18,3,1,NA,1,7,1995,5,1,1,2
282,"Female","Non-Black, non-Hispanic",16,2,NA,1,1,9,1991,4,1,1,2
283,"Male","Hispanic",12,3,0,NA,0,6,1984,4,1,1,2
284,"Male","Hispanic",12,0,0,NA,0,NA,NA,2,1,1,2
285,"Female","Hispanic",12,3,NA,1,1,10,1977,3,1,1,2
286,"Female","Hispanic",16,0,NA,0,0,NA,NA,4,1,0,2
287,"Female","Non-Black, non-Hispanic",12,2,NA,1,1,6,1981,NA,NA,NA,NA
288,"Female","Non-Black, non-Hispanic",12,6,NA,0,0,12,1979,3,1,0,1
289,"Female","Non-Black, non-Hispanic",12,2,NA,1,1,12,1981,3,1,0,1
290,"Female","Hispanic",10,2,NA,0,0,3,1979,2,1,1,2
291,"Male","Black",12,0,1,NA,1,NA,NA,5,1,0,2
292,"Female","Non-Black, non-Hispanic",20,2,NA,1,1,1,1990,5,1,1,2
293,"Female","Non-Black, non-Hispanic",13,2,NA,1,1,9,1985,4,1,1,2
294,"Female","Non-Black, non-Hispanic",12,3,NA,1,1,12,1983,5,1,0,2
295,"Male","Non-Black, non-Hispanic",10,0,1,NA,1,NA,NA,NA,NA,NA,NA
296,"Male","Non-Black, non-Hispanic",12,3,1,NA,1,4,1987,2,1,1,1
297,"Female","Non-Black, non-Hispanic",12,2,NA,1,1,10,1978,1,1,0,2
298,"Female","Hispanic",16,2,NA,1,1,2,1989,2,1,1,1
299,"Male","Hispanic",11,0,1,NA,1,NA,NA,3,1,0,1
300,"Male","Hispanic",12,0,1,NA,1,NA,NA,NA,NA,NA,NA
301,"Male","Hispanic",12,2,1,NA,1,12,1988,4,1,0,2
302,"Male","Hispanic",12,2,0,NA,0,6,1987,4,1,0,2
303,"Male","Hispanic",12,2,0,NA,0,5,1991,4,1,0,2
304,"Male","Hispanic",11,0,0,NA,0,NA,NA,3,1,0,2
305,"Female","Hispanic",12,2,NA,NA,NA,7,1980,4,1,1,1
306,"Male","Black",14,0,1,NA,1,NA,NA,3,1,1,1
307,"Female","Non-Black, non-Hispanic",12,0,NA,1,1,NA,NA,4,1,1,2
308,"Male","Non-Black, non-Hispanic",12,0,0,NA,0,NA,NA,1,1,0,1
309,"Male","Non-Black, non-Hispanic",13,2,1,NA,1,12,1984,5,1,1,2
310,"Male","Non-Black, non-Hispanic",12,1,1,NA,1,2,1990,2,1,1,2
311,"Male","Non-Black, non-Hispanic",12,0,1,NA,1,NA,NA,5,1,0,2
312,"Female","Non-Black, non-Hispanic",16,2,NA,1,1,1,1983,4,1,0,2
313,"Male","Non-Black, non-Hispanic",11,6,1,NA,1,10,1984,3,1,0,2
