"id","year","marstat","emergency_savings","married"
412,2012,1,0,1
414,2012,1,0,1
415,2012,1,0,1
416,2012,1,0,1
417,2012,1,1,1
418,2012,1,0,1
419,2012,3,0,0
420,2012,1,0,1
422,2012,1,0,1
423,2012,1,1,1
425,2012,3,0,0
426,2012,1,1,1
431,2012,1,0,1
434,2012,3,0,0
436,2012,1,1,1
437,2012,1,0,1
438,2012,3,0,0
439,2012,1,0,1
442,2012,1,1,1
443,2012,1,1,1
444,2012,1,1,1
445,2012,1,0,1
449,2012,1,0,1
452,2012,1,0,1
455,2012,1,1,1
456,2012,0,1,0
457,2012,3,1,0
458,2012,1,0,1
459,2012,1,1,1
460,2012,0,1,0
461,2012,3,0,0
462,2012,1,1,1
464,2012,1,1,1
465,2012,1,1,1
466,2012,1,1,1
467,2012,1,1,1
468,2012,1,0,1
470,2012,0,0,0
471,2012,1,1,1
472,2012,3,0,0
473,2012,0,0,0
474,2012,3,0,0
475,2012,3,0,0
476,2012,1,0,1
477,2012,3,0,0
478,2012,1,1,1
479,2012,1,0,1
480,2012,1,1,1
481,2012,1,1,1
482,2012,1,1,1
483,2012,1,1,1
484,2012,2,1,0
485,2012,1,1,1
486,2012,1,1,1
488,2012,1,0,1
489,2012,1,1,1
491,2012,3,0,0
492,2012,1,1,1
493,2012,1,0,1
495,2012,3,0,0
496,2012,0,0,0
498,2012,1,0,1
499,2012,1,1,1
500,2012,1,0,1
501,2012,1,0,1
502,2012,3,1,0
503,2012,1,0,1
504,2012,1,1,1
505,2012,0,0,0
506,2012,0,0,0
507,2012,1,0,1
513,2012,1,0,1
514,2012,0,0,0
516,2012,0,0,0
517,2012,0,0,0
518,2012,0,0,0
519,2012,0,0,0
520,2012,1,1,1
521,2012,0,1,0
523,2012,1,0,1
527,2012,3,1,0
528,2012,3,1,0
530,2012,1,0,1
531,2012,1,0,1
533,2012,1,0,1
534,2012,1,0,1
536,2012,0,0,0
537,2012,0,0,0
541,2012,3,0,0
542,2012,1,1,1
543,2012,3,0,0
544,2012,1,0,1
546,2012,1,1,1
547,2012,1,0,1
